years,data
1970,377463.4516
1971,396994.878
1972,442314.0825
1973,485838.5179
1974,481019.8052
1975,463878.196
1976,489656.4328
1977,526816.9135
1978,526744.1112
1979,545505.1091
1980,497662.2478
1981,502662.1352
1982,485304.7554
1983,501391.4458
1984,535709.7599
1985,544261.7579
1986,560533.7175
1987,558451.8522
1988,579382.8297
1989,583459.8665
1990,581153.7635
1991,591368.7049
1992,604877.4043
1993,630854.2264
1994,657422.4071
1995,682367.3677
1996,720159.5435
1997,737185.0301
1998,782909.5831
1999,810202.3703
2000,828108.63
2001,834350.8816
2002,845991.1629
2003,859108.8623
2004,904953.9389
2005,936228.9109
2006,962542.1861
2007,973351.8705
2008,950669.822
2009,891912.6478
