years,data
1970,0.72344
1971,0.7634
1972,0.76653
1973,0.88023
1974,1.36337
1975,1.43138
1976,1.53279
1977,1.73537
1978,1.8339
1979,2.63215
1980,3.66203
1981,4.50546
1982,4.37312
1983,4.23482
1984,4.30708
1985,4.14148
1986,3.32039
1987,3.16317
1988,3.1966
1989,3.52892
1990,4.7475
1991,4.54789
1992,4.15826
1993,4.05806
1994,3.94314
1995,3.86469
1996,4.42645
1997,4.41391
1998,3.81766
1999,3.9151
2000,5.87886
2001,5.6153
2002,5.09329
2003,6.11291
2004,6.94512
2005,9.19702
2006,10.59668
2007,11.62318
2008,14.42859
2009,10.74466
