years,data
1970,2658.0708
1971,2551.74797
1972,2445.42514
1973,2354.29128
1974,2460.61411
1975,3007.41725
1976,3341.57472
1977,3660.54322
1978,3569.40936
1979,4040.26762
1980,7729.2015
1981,10429.50472
1982,10829.22929
1983,11582.1871
1984,12703.6957
1985,13086.1255
1986,11920.03514
1987,6453.83847
1988,6887.59217
1989,6963.28008
1990,4759.09988
1991,4989.15777
1992,5234.52628
1993,5009.15701
1994,4754.71662
1995,4754.71662
1996,4937.59029
1997,5611.80383
1998,4986.87188
1999,5249.33872
2000,5643.03915
2001,3289.20567
2002,3338.75185
2003,3514.47557
2004,3602.33743
2005,4829.2851
2006,4395.82104
2007,4846.67456
2008,5072.10126
2009,4846.67456
