years,data
1960,52.44697
1961,51.6121
1962,50.59694
1963,49.81824
1964,50.20989
1965,48.81696
1966,50.16818
1967,52.13105
1968,53.60373
1969,54.7241
1970,56.5804
1971,54.40288
1972,52.42417
1973,50.50469
1974,52.71253
1975,64.57876
1976,71.48547
1977,78.6955
1978,76.91807
1979,86.79153
1980,217.21268
1981,283.94753
1982,277.76061
1983,297.46884
1984,322.78425
1985,352.12828
1986,396.14431
1987,248.55584
1988,274.26852
1989,638.71996
1990,898.31398
1991,937.79611
1992,989.12996
1993,1164.51707
1994,1115.11907
1995,1125.5893
1996,1169.22315
1997,1619.31675
1998,1414.3523
1999,1555.26731
2000,1655.57412
2001,1068.57695
2002,1069.72001
2003,1112.79962
2004,1042.04222
2005,1387.21316
2006,1299.31999
2007,1378.38045
2008,1451.53281
2009,1431.7783
