years,data
1960,70774.23143
1961,76144.71352
1962,78080.1994
1963,80479.18521
1964,83422.03673
1965,78915.22805
1966,80100.43033
1967,73535.15058
1968,78732.00371
1969,86848.51496
1970,80189.82455
1971,80854.88162
1972,81142.71002
1973,87351.64108
1974,79024.01439
1975,87238.73266
1976,93449.23997
1977,99518.97052
1978,101859.8548
1979,142557.645
1980,122308.7164
1981,65241.51341
1982,65153.73579
1983,73769.4404
1984,101279.4951
1985,91894.48861
1986,102016.5525
1987,109215.7437
1988,101814.9885
1989,99513.65754
1990,98621.05793
1991,94569.61171
1992,89971.09246
1993,82504.34456
1994,81207.5955
1995,81036.2289
1996,82279.99878
1997,76390.54321
1998,103333.9789
1999,135149.8839
2000,135103.8937
2001,125554.839
2002,118493.1644
2003,90543.81675
2004,91629.57949
2005,87109.93925
2006,80492.43371
2007,99922.13094
2008,82940.51795
2009,71557.59172
