years,data
1960,35159.75621
1961,58714.4743
1962,39388.95042
1963,45875.83956
1964,53370.46866
1965,63236.58748
1966,51051.50766
1967,53529.74806
1968,56671.2392
1969,57683.07361
1970,59327.21712
1971,50886.05291
1972,47325.51298
1973,66913.264
1974,60613.37677
1975,56397.17178
1976,66625.16524
1977,75104.7046
1978,67804.21746
1979,68481.29783
1980,66077.1796
1981,78354.49583
1982,69368.10907
1983,31975.57962
1984,36455.89942
1985,44015.94558
1986,42518.7609
1987,44937.45481
1988,50679.0128
1989,57672.53559
1990,64737.99422
1991,62994.32221
1992,64800.60098
1993,53625.38257
1994,54173.65946
1995,57900.15795
1996,56202.16944
1997,62177.79206
1998,43348.35621
1999,46771.85328
2000,47379.61516
2001,46726.91697
2002,47112.85777
2003,47748.8623
2004,46187.60877
2005,46283.93245
2006,45062.2572
2007,43136.47689
2008,39420.32868
2009,31318.46832
