years,data
1960,1286.19051
1961,2145.77424
1962,1430.20656
1963,1677.96424
1964,1960.03388
1965,2334.69394
1966,1867.9864
1967,1977.54427
1968,2100.48786
1969,2137.64361
1970,2201.97633
1971,1885.23033
1972,1757.23445
1973,2484.28214
1974,2229.86809
1975,1824.17563
1976,1896.07323
1977,1844.58375
1978,1556.08235
1979,1648.81361
1980,1509.95458
1981,1445.00349
1982,1294.98064
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,0.0
2001,0.0
2002,0.0
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
