years,data
1960,35903.06676
1961,59106.44867
1962,39681.01509
1963,46127.33651
1964,53722.75475
1965,63692.80664
1966,51515.03837
1967,53948.98003
1968,57010.63322
1969,60030.64937
1970,61811.50474
1971,51014.75909
1972,47451.94713
1973,66956.00654
1974,60670.1672
1975,56405.23
1976,66629.89346
1977,75109.05148
1978,67891.9103
1979,68564.94334
1980,66169.6168
1981,78400.54828
1982,69414.68153
1983,32021.77139
1984,37242.74012
1985,45264.37754
1986,42518.7609
1987,44951.38533
1988,50824.28608
1989,66426.63687
1990,84159.70697
1991,89519.12363
1992,91515.05006
1993,84669.28642
1994,84615.77611
1995,84323.12291
1996,80324.43099
1997,82651.06498
1998,66156.57709
1999,69547.22128
2000,70011.69418
2001,67839.48592
2002,70009.96196
2003,69469.16922
2004,68909.34635
2005,67422.33819
2006,67016.54708
2007,66494.60273
2008,63050.16857
2009,52403.09775
