years,data
1970,28.24504
1971,23.8354
1972,24.51267
1973,40.61833
1974,78.19724
1975,74.61808
1976,95.21425
1977,110.41702
1978,107.67605
1979,116.02206
1980,126.62621
1981,169.28308
1982,152.06545
1983,75.75517
1984,89.29005
1985,102.41068
1986,96.06179
1987,94.03152
1988,98.66447
1989,111.64538
1990,131.03561
1991,126.74529
1992,118.63498
1993,106.29365
1994,109.48853
1995,108.44269
1996,103.6009
1997,113.16575
1998,82.74888
1999,82.27515
2000,79.85491
2001,75.39304
2002,77.25259
2003,80.23895
2004,81.52255
2005,99.24748
2006,107.87814
2007,121.03966
2008,116.80874
2009,92.28425
