years,data
1970,243.67542
1971,324.22374
1972,282.77382
1973,370.89126
1974,541.83295
1975,573.35143
1976,636.12964
1977,703.40748
1978,803.33236
1979,1188.68611
1980,1720.56692
1981,2130.11171
1982,1939.08526
1983,1818.91725
1984,1896.84221
1985,2006.42462
1986,1833.16089
1987,1813.49445
1988,2267.08706
1989,2444.68858
1990,2657.67124
1991,2607.91961
1992,2571.36442
1993,2426.32285
1994,2691.01883
1995,2833.72227
1996,3155.12713
1997,3325.25022
1998,2895.78347
1999,3432.3545
2000,4612.07062
2001,4321.26616
2002,4127.92573
2003,7077.36251
2004,6409.69851
2005,8504.99163
2006,9693.51039
2007,10350.99252
2008,12229.04788
2009,7708.4357
