years,data
1960,26682.79075
1961,27611.69962
1962,29860.84519
1963,32208.44127
1964,35128.46102
1965,35104.57644
1966,37557.16657
1967,38088.33966
1968,38591.27652
1969,38892.45213
1970,39220.99702
1971,47387.06456
1972,46087.42427
1973,51868.68205
1974,43775.45637
1975,42334.70203
1976,45809.94376
1977,51754.70325
1978,60213.9953
1979,66871.75571
1980,62277.49411
1981,67522.82043
1982,67263.67946
1983,68092.74339
1984,75416.82308
1985,71538.07858
1986,74667.72651
1987,68393.00434
1988,81954.08616
1989,80510.40527
1990,77233.39148
1991,74856.51791
1992,69190.25162
1993,64985.33597
1994,72385.37766
1995,73050.18949
1996,73677.09462
1997,79623.56583
1998,78525.98212
1999,82748.16993
2000,93455.64297
2001,97375.63512
2002,89579.50447
2003,121454.4177
2004,94023.24366
2005,96901.82264
2006,99305.12647
2007,99023.96226
2008,93839.26632
2009,90414.60812
