years,data
1960,154726.7708
1961,160159.899
1962,173439.7489
1963,187155.7837
1964,204121.2694
1965,203998.5508
1966,218205.6858
1967,221336.0356
1968,224240.6593
1969,225972.1383
1970,227840.9549
1971,274715.3097
1972,268543.3303
1973,301421.8599
1974,254579.7165
1975,245734.487
1976,265157.5403
1977,300637.0122
1978,342364.767
1979,377240.0405
1980,353551.5794
1981,387191.3698
1982,389986.1701
1983,395302.3442
1984,437771.6544
1985,414916.1281
1986,432913.9913
1987,396348.0829
1988,476410.936
1989,467010.2605
1990,448346.1811
1991,435227.9108
1992,402202.3843
1993,377817.5616
1994,420976.9304
1995,424894.2535
1996,428326.0764
1997,462157.0368
1998,455685.0675
1999,480385.7342
2000,539141.2803
2001,559223.8716
2002,520496.7688
2003,705989.3517
2004,546329.4847
2005,563047.6136
2006,577280.0977
2007,575832.9861
2008,545594.0601
2009,525990.6038
