years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,101.66
1981,43.56
1982,5.84
1983,33.636
1984,131.443
1985,4197.448
1986,3894.6
1987,7832.142
1988,7430.978
1989,4786.177
1990,5142.187
1991,3157.871
1992,2098.414
1993,2012.553
1994,2157.144
1995,1967.163
1996,1511.802
1997,1671.365
1998,1351.861
1999,1452.368
2000,5507.197
2001,3419.761
2002,2066.517
2003,4148.401
2004,1291.005
2005,5630.145
2006,2936.453
2007,5797.464
2008,5369.534
2009,3047.148
