years,data
1960,6480.48577
1961,10118.88016
1962,-5884.1243
1963,-22652.35466
1964,-14844.66322
1965,-2703.30141
1966,14027.17346
1967,6948.11481
1968,52801.58186
1969,76757.22842
1970,137180.0929
1971,204031.6166
1972,279958.3085
1973,195793.6192
1974,259716.8978
1975,417168.4002
1976,549253.7331
1977,385390.8128
1978,443647.1168
1979,369622.8614
1980,460240.5804
1981,556505.8347
1982,623125.5051
1983,607930.1255
1984,692783.9852
1985,687342.197
1986,722691.976
1987,712616.6266
1988,849116.6154
1989,637470.8417
1990,789340.7285
1991,816298.5893
1992,695805.0513
1993,569328.9445
1994,607847.335
1995,661991.1507
1996,791155.0151
1997,910758.9369
1998,823844.7267
1999,834549.0749
2000,751785.8778
2001,817756.7026
2002,853673.8771
2003,875017.2956
2004,999180.6881
2005,955497.616
2006,912049.8287
2007,1004480.132
2008,1093156.141
2009,999871.5237
