years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,1405.52177
1982,3785.10159
1983,3835.79905
1984,3085.78937
1985,1460.36701
1986,1399.43053
1987,2093.80105
1988,4061.88092
1989,3643.3678
1990,3865.25008
1991,4860.84825
1992,539.93324
1993,1975.33243
1994,2783.09949
1995,8670.21386
1996,7316.03425
1997,7333.89063
1998,5528.14199
1999,4809.44892
2000,5478.25115
2001,7546.44896
2002,8853.48912
2003,49289.91455
2004,71072.88334
2005,77839.67879
2006,76887.1162
2007,80846.5488
2008,82182.61118
2009,80799.65133
