years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,8.77282
1982,22.19294
1983,26.23993
1984,17.80557
1985,9.78278
1986,8.94412
1987,18.38776
1988,24.09399
1989,21.23738
1990,24.76056
1991,27.25253
1992,2.58007
1993,1.68935
1994,2.0669
1995,6.59952
1996,5.36119
1997,5.34493
1998,4.22892
1999,3.37809
2000,3.81819
2001,5.33607
2002,6.15316
2003,35.57508
2004,52.06633
2005,56.84087
2006,58.06862
2007,60.13751
2008,63.22672
2009,61.49606
