years,data
1960,65.80163
1961,64.87013
1962,65.86649
1963,66.32061
1964,66.45355
1965,66.3374
1966,66.00979
1967,65.34979
1968,65.47704
1969,65.0
1970,65.0
1971,65.0
1972,80.0
1973,191.66
1974,154.474
1975,264.8931
1976,293.7421
1977,236.11
1978,222.935
1979,226.041
1980,202.599
1981,234.053
1982,255.57
1983,249.418
1984,247.5625
1985,266.1272
1986,265.4962
1987,261.9527
1988,272.3918
1989,275.0195
1990,315.4861
1991,345.0068
1992,387.165
1993,407.61617
1994,425.21003
1995,423.1801
1996,428.88942
1997,477.92037
1998,520.63315
1999,539.85548
2000,606.04398
2001,659.9101
2002,591.02591
2003,808.821
2004,900.251
2005,846.283
2006,876.837
2007,847.907
2008,866.814
2009,844.328
