years,data
1960,0.0619
1961,0.06078
1962,0.61148
1963,0.11824
1964,0.05429
1965,0.02984
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.006
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,7.425
1991,7.425
1992,7.425
1993,11.583
1994,3.96
1995,3.963
1996,11.484
1997,5.315
1998,11.671
1999,10.563
2000,8.028
2001,0.0
2002,0.0
2003,0.914
2004,0.0034
2005,5.4256
2006,7.39409
2007,13.38777
2008,0.0
2009,0.32967
