years,data
1970,1.45069
1971,1.48268
1972,1.4697
1973,2.32455
1974,14.66977
1975,16.50332
1976,18.536
1977,26.21809
1978,31.38573
1979,75.86766
1980,67.92633
1981,19.08811
1982,7.50158
1983,4.78547
1984,17.95716
1985,19.19775
1986,5.3125
1987,11.84931
1988,1.02909
1989,1.33455
1990,1.55816
1991,1.26698
1992,0.64368
1993,1.27098
1994,1.12513
1995,1.58931
1996,3.8426
1997,5.56833
1998,4.00366
1999,1.29059
2000,1.53475
2001,1.67734
2002,0.55446
2003,1.9122
2004,2.51338
2005,3.11019
2006,4.42147
2007,3.81044
2008,1.84653
2009,1.03016
