years,data
1970,1.075872205
1971,1.132465506
1972,1.205509165
1973,1.441743311
1974,2.586537311
1975,2.764589384
1976,3.085639203
1977,3.27090406
1978,3.427654026
1979,4.411854693
1980,6.439137546
1981,7.798413503
1982,7.171000266
1983,7.860813653
1984,7.465368787
1985,8.872444582
1986,4.90586797
1987,4.760510398
1988,5.056937248
1989,5.398773734
1990,7.375779084
1991,5.946819136
1992,5.200796282
1993,5.539821952
1994,5.003900467
1995,5.060858347
1996,5.418022813
1997,5.17801639
1998,5.690613143
1999,5.710688205
2000,9.580816539
2001,8.807391154
2002,9.041648588
2003,8.97552902
2004,11.47449611
2005,13.68894921
2006,21.80408683
2007,23.84078878
2008,29.77577756
2009,24.88315377
