years,data
1970,45.50689
1971,46.4063
1972,42.41188
1973,52.63775
1974,57.4177
1975,39.11371
1976,37.78907
1977,40.53584
1978,62.62458
1979,108.18029
1980,128.71077
1981,105.30704
1982,140.17765
1983,182.17363
1984,133.84136
1985,145.97087
1986,143.37293
1987,207.79532
1988,210.85643
1989,235.02523
1990,226.74441
1991,280.08181
1992,203.75598
1993,225.92322
1994,202.96745
1995,193.29064
1996,169.54938
1997,159.91912
1998,240.38405
1999,230.48791
2000,273.57002
2001,212.05371
2002,214.67973
2003,356.09892
2004,489.55632
2005,643.25239
2006,638.61737
2007,725.46776
2008,1021.58215
2009,782.83308
