years,data
1970,46.55514
1971,50.74397
1972,57.5257
1973,75.47015
1974,98.03406
1975,56.56748
1976,59.1896
1977,88.89098
1978,104.0267
1979,146.19325
1980,183.1363
1981,220.20149
1982,192.39423
1983,198.35157
1984,219.61551
1985,204.3809
1986,176.93664
1987,174.22386
1988,180.82936
1989,183.79602
1990,190.66228
1991,196.22863
1992,218.16128
1993,229.9457
1994,242.28218
1995,241.86716
1996,242.82754
1997,229.63455
1998,254.97742
1999,226.27441
2000,239.43099
2001,231.6893
2002,261.92368
2003,295.38596
2004,331.24825
2005,431.08608
2006,504.09533
2007,543.61354
2008,547.28365
2009,447.81526
