years,data
1960,14978.22323
1961,14383.34956
1962,13995.80602
1963,13474.69959
1964,13031.4161
1965,11793.46434
1966,12038.86532
1967,10048.38638
1968,9182.20234
1969,7989.09176
1970,10198.97507
1971,8100.20553
1972,7489.4637
1973,7733.43067
1974,6837.24954
1975,7029.47393
1976,7858.64086
1977,5956.49258
1978,5662.51395
1979,5873.68082
1980,8921.67545
1981,7366.28059
1982,6619.27567
1983,5674.0528
1984,9838.10201
1985,16099.62558
1986,16683.43056
1987,17106.07738
1988,15642.87051
1989,16979.9914
1990,16612.65526
1991,17184.07991
1992,17317.19849
1993,13996.43071
1994,14423.95162
1995,14855.7376
1996,14299.26972
1997,15170.1775
1998,17007.4037
1999,10014.04238
2000,10271.28097
2001,23618.44767
2002,25107.48229
2003,26080.15427
2004,29831.64387
2005,28048.12061
2006,28715.62726
2007,23211.63835
2008,20506.32256
2009,19578.41992
