years,data
1970,28.56254
1971,23.02864
1972,20.86647
1973,23.84541
1974,30.56408
1975,34.00965
1976,39.57391
1977,31.73232
1978,31.02027
1979,43.86776
1980,90.94346
1981,83.42593
1982,71.63784
1983,50.83316
1984,85.97527
1985,139.79369
1986,111.51505
1987,118.85354
1988,110.68833
1989,130.06028
1990,142.41082
1991,140.55426
1992,159.22731
1993,127.09893
1994,131.35446
1995,137.47039
1996,143.34904
1997,155.62023
1998,152.94911
1999,105.16757
2000,128.67296
2001,289.21498
2002,280.43426
2003,358.67097
2004,484.59417
2005,529.18389
2006,612.50462
2007,533.67642
2008,540.89055
2009,392.70904
