years,data
1960,622.02039
1961,694.4677
1962,762.22666
1963,403.44467
1964,403.5187
1965,393.69784
1966,528.22325
1967,493.45468
1968,550.43566
1969,512.64372
1970,457.91483
1971,460.18815
1972,471.5733
1973,584.19058
1974,748.61181
1975,1008.12522
1976,970.05855
1977,1097.26327
1978,954.48497
1979,883.36151
1980,837.54002
1981,863.93128
1982,757.31463
1983,678.8253
1984,582.84884
1985,586.97609
1986,562.90444
1987,565.26628
1988,685.50524
1989,630.65814
1990,567.34183
1991,392.21627
1992,257.13825
1993,243.40554
1994,272.01784
1995,249.58675
1996,125.83493
1997,138.15547
1998,168.17039
1999,158.16814
2000,168.48168
2001,484.79457
2002,520.78693
2003,488.86621
2004,440.20904
2005,437.75706
2006,191.04851
2007,187.45871
2008,199.47353
2009,213.23032
