years,data
1960,10953.405
1961,12119.85
1962,16348.86
1963,14497.778
1964,17770.032
1965,16789.231
1966,32107.472
1967,19739.808
1968,18023.34
1969,18460.561
1970,17869.516
1971,19684.504
1972,19663.95123
1973,20735.2908
1974,20020.5213
1975,21411.29538
1976,16709.74127
1977,15646.17756
1978,15457.02743
1979,18737.7036
1980,15921.90006
1981,15745.34101
1982,13516.48312
1983,10642.48675
1984,11800.0134
1985,14960.34288
1986,12793.1001
1987,19438.97492
1988,19746.59526
1989,19962.67068
1990,20780.30222
1991,19006.10838
1992,15610.52612
1993,12825.98108
1994,12969.05534
1995,20001.2085
1996,20060.1793
1997,24433.99244
1998,10866.55978
1999,11610.967
2000,11526.53616
2001,13837.26762
2002,12647.83732
2003,12330.28204
2004,17144.05865
2005,20652.68528
2006,17297.23731
2007,20256.77879
2008,20017.10529
2009,19952.36172
