years,data
1960,322992.038
1961,396563.25
1962,396751.388
1963,430326.257
1964,518771.106
1965,492700.654
1966,596667.468
1967,579952.433
1968,684315.22
1969,589545.493
1970,636270.298
1971,562827.192
1972,605790.91
1973,455526.228
1974,292958.579
1975,274562.346
1976,295008.915
1977,359050.679
1978,302167.277
1979,444600.585
1980,518807.931
1981,655333.854
1982,533832.259
1983,465065.901
1984,573000.715
1985,666273.554
1986,444225.957
1987,643335.118
1988,552937.813
1989,654648.005
1990,628785.159
1991,628535.469
1992,762931.993
1993,673065.112
1994,810674.065
1995,602903.367
1996,525035.168
1997,595822.247
1998,649086.682
1999,723171.254
2000,893376.537
2001,973327.075
2002,726627.105
2003,705343.234
2004,770517.1749
2005,689169.2898
2006,770836.1136
2007,834286.378
2008,857867.453
2009,808928.116
