years,data
1960,466331.6307
1961,472140.8663
1962,497738.3434
1963,569800.2433
1964,592088.3135
1965,567431.7423
1966,595392.5863
1967,649647.008
1968,681344.254
1969,719150.508
1970,749133.662
1971,734720.212
1972,727470.5609
1973,758264.5846
1974,752062.4024
1975,703649.9056
1976,658420.3708
1977,660400.3906
1978,512590.9512
1979,522599.5837
1980,507360.4193
1981,482939.9634
1982,379674.1155
1983,359316.3734
1984,437281.3057
1985,449515.4143
1986,443284.7537
1987,570724.651
1988,500800.5689
1989,548403.245
1990,606719.6176
1991,725496.0245
1992,705045.1963
1993,726181.6294
1994,688936.0319
1995,705432.0271
1996,726368.0275
1997,807302.7329
1998,864794.6134
1999,803612.0412
2000,803824.8276
2001,730253.5445
2002,799969.5154
2003,837461.6482
2004,893412.3233
2005,841136.9207
2006,809807.2379
2007,807888.0404
2008,810604.7668
2009,792794.1734
