years,data
1970,209.33653
1971,225.88363
1972,244.417
1973,283.64261
1974,361.75381
1975,539.56667
1976,654.38709
1977,872.78256
1978,721.62207
1979,962.88597
1980,1248.73578
1981,1347.87546
1982,1422.45944
1983,1499.23413
1984,1781.31653
1985,1745.80855
1986,1252.11543
1987,1637.51552
1988,1557.203
1989,1712.7649
1990,1967.67034
1991,2147.03892
1992,1981.91057
1993,1571.98847
1994,1806.12556
1995,2156.56026
1996,2162.84615
1997,2734.88677
1998,2525.35071
1999,2162.27188
2000,3635.93347
2001,3888.14501
2002,3213.64028
2003,4971.35628
2004,5923.11702
2005,6896.90177
2006,6010.58749
2007,5873.59785
2008,6733.39913
2009,4023.16954
