years,data
1960,589695.1451
1961,633797.9406
1962,642889.4563
1963,736625.8428
1964,756639.9389
1965,752461.6474
1966,785759.2238
1967,776043.3003
1968,814570.8625
1969,772179.4916
1970,739623.6843
1971,700449.5877
1972,561777.9517
1973,507133.0687
1974,419143.6819
1975,365212.1334
1976,400198.6708
1977,353544.2145
1978,352083.5822
1979,282281.1734
1980,342208.3289
1981,414770.716
1982,432487.2135
1983,463384.5899
1984,526963.1637
1985,546052.752
1986,511410.7223
1987,468677.7616
1988,444232.9773
1989,404557.6604
1990,401146.6806
1991,414017.1422
1992,402191.7601
1993,352455.9707
1994,340053.1185
1995,308223.984
1996,320465.7157
1997,313734.3359
1998,349864.2651
1999,410698.8177
2000,390975.4554
2001,408479.0781
2002,394507.1096
2003,373313.5272
2004,356231.7195
2005,353819.5354
2006,351100.4993
2007,339526.5504
2008,331492.569
2009,309834.8831
