years,data
1960,10953.405
1961,12119.85
1962,16348.86
1963,14497.778
1964,17770.032
1965,16789.231
1966,32107.472
1967,19739.808
1968,18023.34
1969,18460.561
1970,17869.516
1971,19684.504
1972,19663.95123
1973,20735.2908
1974,20020.5213
1975,21411.29538
1976,16709.74127
1977,15646.17756
1978,15457.02743
1979,18737.7036
1980,15921.90006
1981,15745.34101
1982,13516.48312
1983,10642.48675
1984,11800.0134
1985,14960.34288
1986,12793.1001
1987,19438.97492
1988,19746.59526
1989,19962.67068
1990,20775.82136
1991,18996.71215
1992,15155.25291
1993,12249.462
1994,12365.29836
1995,19149.60432
1996,18907.30706
1997,22878.14612
1998,9071.41122
1999,9477.97278
2000,9274.86992
2001,11081.59204
2002,9795.48102
2003,8842.81349
2004,13228.37648
2005,11024.40787
2006,7183.25464
2007,9105.35215
2008,7970.20224
2009,6465.92904
