years,data
1970,107247.6952
1971,111851.7877
1972,109877.1877
1973,123041.5835
1974,123856.3653
1975,101232.9597
1976,105309.8518
1977,106686.7666
1978,86265.00299
1979,84167.27102
1980,98970.01998
1981,79769.40838
1982,51045.23263
1983,51968.06955
1984,55533.44801
1985,38951.32965
1986,57596.33922
1987,60386.42179
1988,51293.81224
1989,53237.19505
1990,63946.73242
1991,62029.56026
1992,55987.66938
1993,56874.46051
1994,51539.67861
1995,49014.82056
1996,62874.19036
1997,66377.0187
1998,76425.15218
1999,77744.0067
2000,84997.95865
2001,78546.73723
2002,90041.39356
2003,89404.29668
2004,86811.11209
2005,82338.06515
2006,87708.88591
2007,92044.94468
2008,99966.54724
2009,96400.28519
