years,data
1960,1257803.0
1961,1352825.0
1962,1433259.0
1963,1518587.0
1964,1696770.0
1965,1689854.0
1966,1849165.0
1967,1911132.433
1968,2046080.22
1969,2048534.493
1970,2126466.298
1971,2149264.192
1972,2185542.91
1973,2045627.228
1974,1834412.579
1975,1832849.346
1976,1756610.915
1977,1772040.679
1978,1563172.277
1979,1810380.585
1980,1807730.931
1981,1858177.854
1982,1682718.259
1983,1535030.901
1984,1669705.715
1985,1846077.554
1986,1531322.957
1987,1934909.118
1988,1804452.813
1989,1974778.256
1990,2036436.08
1991,2150229.293
1992,2229480.048
1993,2136207.631
1994,2282284.439
1995,2076728.222
1996,1955116.355
1997,2146394.153
1998,2310112.62
1999,2339781.28
2000,2509129.921
2001,2464565.039
2002,2273192.157
2003,2269405.076
2004,2406888.72
2005,2248256.457
2006,2315720.219
2007,2395674.272
2008,2405264.453
2009,2328507.116
