years,data
1960,934810.962
1961,956261.75
1962,1036507.612
1963,1088260.743
1964,1177998.894
1965,1197153.346
1966,1252497.532
1967,1331180.0
1968,1361765.0
1969,1458989.0
1970,1490196.0
1971,1586437.0
1972,1579752.0
1973,1590101.0
1974,1541454.0
1975,1558287.0
1976,1461602.0
1977,1412990.0
1978,1261005.0
1979,1365780.0
1980,1288923.0
1981,1202844.0
1982,1148886.0
1983,1069965.0
1984,1096705.0
1985,1179804.0
1986,1087097.0
1987,1291574.0
1988,1251515.0
1989,1320130.251
1990,1407650.921
1991,1521693.824
1992,1466548.055
1993,1463142.519
1994,1471610.374
1995,1473824.855
1996,1430081.187
1997,1550571.906
1998,1661025.938
1999,1616610.026
2000,1615753.384
2001,1491237.964
2002,1546565.052
2003,1564061.842
2004,1636371.545
2005,1559087.167
2006,1544884.105
2007,1561387.894
2008,1547397.0
2009,1519579.0
