years,data
1970,154.23371
1971,177.86824
1972,190.93906
1973,229.99045
1974,371.87223
1975,369.67418
1976,403.29025
1977,492.28657
1978,555.52018
1979,968.38035
1980,1315.76699
1981,1132.42428
1982,923.87628
1983,1011.23029
1984,1260.98373
1985,1142.52699
1986,1014.10822
1987,1122.63163
1988,937.05201
1989,812.98021
1990,856.85954
1991,766.58062
1992,790.43285
1993,740.27056
1994,786.38342
1995,788.48621
1996,794.00535
1997,768.1222
1998,875.8937
1999,998.02391
2000,986.09403
2001,1100.52758
2002,1150.74263
2003,1134.14614
2004,1285.67261
2005,1534.63911
2006,1364.87367
2007,1711.22577
2008,1685.66156
2009,1224.92854
