years,data
1970,258.55945
1971,285.66372
1972,310.79547
1973,341.90851
1974,526.53383
1975,521.78168
1976,561.04951
1977,669.76047
1978,762.37039
1979,1221.77969
1980,1582.30443
1981,1462.18125
1982,1257.6983
1983,1345.19723
1984,1623.0737
1985,1510.253
1986,1315.18478
1987,1402.85385
1988,1232.67519
1989,1117.02154
1990,1171.54011
1991,1085.54362
1992,1135.23109
1993,1089.81713
1994,1151.72032
1995,1159.00501
1996,1170.1843
1997,1129.77084
1998,1263.876
1999,1355.46203
2000,1372.2798
2001,1470.53703
2002,1555.99562
2003,1589.14095
2004,1803.0154
2005,2198.97577
2006,2150.9422
2007,2544.40642
2008,2518.33802
2009,1906.23891
