years,data
1960,397463.8526
1961,390515.6638
1962,398756.9385
1963,411262.9453
1964,448112.0247
1965,443305.2164
1966,472817.4446
1967,442087.9109
1968,458783.9056
1969,459244.4306
1970,472326.1624
1971,466320.0608
1972,497603.1122
1973,541442.9765
1974,523949.9744
1975,512546.6798
1976,546347.7455
1977,581244.3241
1978,614330.8947
1979,720491.5994
1980,661164.4097
1981,504762.8307
1982,497786.4508
1983,616289.043
1984,766735.7799
1985,717641.0202
1986,679945.8115
1987,692385.5758
1988,685233.781
1989,638276.1429
1990,614730.0246
1991,527282.4693
1992,552586.8315
1993,498889.583
1994,528465.5531
1995,488964.0432
1996,499103.5133
1997,491584.1523
1998,474507.5377
1999,526127.2787
2000,519670.778
2001,612901.4108
2002,580451.7631
2003,518990.9366
2004,542591.7189
2005,528006.1157
2006,508097.1317
2007,493452.7912
2008,447711.8968
2009,408126.3787
