years,data
1960,66725.40142
1961,65600.22795
1962,67055.16212
1963,69230.29058
1964,75617.03565
1965,74876.02135
1966,79958.732
1967,75252.0646
1968,78190.98829
1969,78989.36988
1970,81466.28421
1971,80693.68513
1972,86885.89852
1973,94893.66769
1974,92731.14122
1975,90890.00281
1976,96479.24392
1977,101820.3383
1978,107633.6629
1979,125853.8661
1980,114581.2018
1981,87614.4896
1982,86215.697
1983,106125.2437
1984,132814.7168
1985,123970.8895
1986,117569.2105
1987,120378.8231
1988,119739.3009
1989,112924.6455
1990,107603.7611
1991,91442.49685
1992,98091.60103
1993,87089.19835
1994,92554.96288
1995,84752.34571
1996,85265.43125
1997,83577.20462
1998,79790.54164
1999,88627.02976
2000,87883.85634
2001,104732.8331
2002,100426.4507
2003,89549.96251
2004,92910.36273
2005,89272.91379
2006,86069.81551
2007,82692.54379
2008,76185.49012
2009,70359.01429
