years,data
1960,16153.92327
1961,16284.25125
1962,17842.11798
1963,18949.93991
1964,20160.97202
1965,20524.68571
1966,16558.42961
1967,18600.36903
1968,18741.86362
1969,20465.00319
1970,20921.29969
1971,22248.38516
1972,20086.4477
1973,19326.9473
1974,17480.65643
1975,12860.91369
1976,12995.09159
1977,13460.8925
1978,18873.37807
1979,22798.0555
1980,16450.69191
1981,14805.9718
1982,14540.81199
1983,17608.91293
1984,15261.93542
1985,18100.93478
1986,15550.08988
1987,18670.76159
1988,20321.52838
1989,22213.9508
1990,19895.27021
1991,23568.4752
1992,16729.86219
1993,17590.19241
1994,17454.70663
1995,16945.6568
1996,14330.60823
1997,13338.7139
1998,21572.06959
1999,20109.2488
2000,19795.31828
2001,15247.61326
2002,15523.3647
2003,21149.27579
2004,25829.8852
2005,29288.50093
2006,25696.68584
2007,25907.45189
2008,31513.00295
2009,31259.22574
