years,data
1970,2.46715
1971,2.41683
1972,2.53707
1973,3.22305
1974,4.11584
1975,4.13849
1976,4.24256
1977,4.78163
1978,4.73007
1979,6.14684
1980,8.13622
1981,7.7527
1982,9.97285
1983,10.82453
1984,9.48278
1985,8.56148
1986,10.24325
1987,11.70195
1988,10.87452
1989,11.21545
1990,11.92074
1991,12.27051
1992,12.79785
1993,13.53159
1994,12.27004
1995,11.96128
1996,12.50765
1997,12.83457
1998,11.87525
1999,12.18931
2000,15.37755
2001,16.20863
2002,15.03759
2003,17.6545
2004,20.06896
2005,23.2944
2006,26.92253
2007,29.25776
2008,33.61163
2009,27.17918
