years,data
1960,3801.93005
1961,3837.96993
1962,4252.97844
1963,4542.76073
1964,4809.17082
1965,4911.37549
1966,3911.64219
1967,4577.68045
1968,4623.23611
1969,5060.49304
1970,5182.47961
1971,5488.35225
1972,4885.64335
1973,4666.73897
1974,4267.0655
1975,3070.92042
1976,3036.56897
1977,3063.07543
1978,4496.17469
1979,5524.4149
1980,4412.52976
1981,3981.69757
1982,3968.23344
1983,4763.82404
1984,4096.68289
1985,4893.33764
1986,4023.72084
1987,4914.58823
1988,5382.38217
1989,5831.52974
1990,5316.13018
1991,6354.87443
1992,4459.14488
1993,4698.20745
1994,4626.06947
1995,4525.10127
1996,3817.06719
1997,3515.20806
1998,5730.85118
1999,5350.4785
2000,5179.21917
2001,3840.37263
2002,4083.52469
2003,5646.98395
2004,6895.64408
2005,7823.99765
2006,6869.50467
2007,7066.72818
2008,8610.21372
2009,8429.5528
