years,data
1960,40761.23305
1961,40761.23305
1962,39155.24664
1963,25437.12312
1964,22014.23536
1965,24365.44828
1966,26068.48561
1967,19460.94735
1968,28688.56694
1969,26243.78768
1970,29396.76229
1971,28717.14733
1972,35019.7969
1973,48327.69988
1974,45149.77597
1975,46232.13967
1976,47574.06706
1977,51375.38943
1978,51425.20917
1979,67908.8079
1980,48548.01912
1981,49066.99829
1982,50062.86585
1983,41844.30295
1984,44870.68935
1985,58871.94285
1986,64759.88575
1987,63975.08686
1988,66328.26602
1989,72224.44879
1990,74601.09016
1991,77485.71931
1992,78430.95442
1993,73670.79812
1994,84212.59438
1995,87077.15921
1996,96547.58636
1997,94662.40315
1998,90638.14037
1999,92359.23151
2000,79106.53879
2001,81195.65729
2002,92524.45513
2003,78060.81836
2004,83032.92061
2005,83939.47671
2006,80056.17342
2007,77823.82468
2008,63318.05238
2009,57329.63458
