years,data
1970,0.60734
1971,0.66617
1972,0.70177
1973,0.81063
1974,1.24343
1975,1.52025
1976,1.78584
1977,2.12733
1978,2.33587
1979,3.0913
1980,4.36008
1981,4.88418
1982,5.16913
1983,5.63401
1984,5.44549
1985,5.21798
1986,4.20222
1987,4.23567
1988,4.22118
1989,4.03466
1990,4.26247
1991,4.17435
1992,4.08111
1993,3.48169
1994,3.85297
1995,4.07905
1996,4.16469
1997,4.35902
1998,3.87319
1999,3.78992
2000,5.63784
2001,6.30043
2002,5.32827
2003,7.1016
2004,8.0324
2005,9.86165
2006,10.01572
2007,10.03126
2008,12.13142
2009,8.15823
