years,data
1960,153925.8772
1961,150719.4246
1962,152440.3519
1963,147497.2728
1964,161081.732
1965,168736.7074
1966,178100.3629
1967,168461.3129
1968,190766.76
1969,203881.4444
1970,210572.2689
1971,208081.3745
1972,225802.454
1973,238894.43
1974,238810.8264
1975,232321.9592
1976,250143.7986
1977,277804.9048
1978,293763.4128
1979,313850.2507
1980,289533.8482
1981,206322.0708
1982,205044.3124
1983,337528.2348
1984,335408.7282
1985,327168.6838
1986,313235.6818
1987,312868.9744
1988,352120.698
1989,335544.4751
1990,335524.9138
1991,282240.0496
1992,303112.7747
1993,277356.1618
1994,300984.848
1995,288109.4788
1996,315818.7345
1997,305228.0653
1998,274113.2551
1999,277393.3624
2000,249786.2396
2001,319059.7086
2002,325193.3257
2003,327442.9627
2004,330258.0855
2005,341177.6931
2006,316958.1564
2007,306577.6449
2008,265015.4719
2009,241429.5252
