years,data
1970,1.37243
1971,1.36274
1972,1.40032
1973,1.58449
1974,2.38234
1975,2.77495
1976,2.9236
1977,3.12495
1978,3.12493
1979,4.89315
1980,8.101
1981,9.51489
1982,8.81096
1983,8.59823
1984,8.84338
1985,8.25707
1986,7.04503
1987,7.73582
1988,6.7646
1989,6.55113
1990,6.19894
1991,5.7352
1992,6.1037
1993,5.44415
1994,4.66731
1995,4.41796
1996,4.39744
1997,4.25106
1998,3.535
1999,4.00614
2000,5.32413
2001,5.29357
2002,4.6646
2003,6.0935
2004,7.00133
2005,8.75599
2006,8.18526
2007,9.40133
2008,13.47667
2009,8.50457
