years,data
1960,25690.75313
1961,25158.34946
1962,25444.48455
1963,24700.44873
1964,27361.02653
1965,28663.75983
1966,30320.80099
1967,28685.78527
1968,32452.0909
1969,34684.07616
1970,35823.63828
1971,35445.14322
1972,38446.74481
1973,40649.42654
1974,40666.37624
1975,39478.16164
1976,42490.13369
1977,47137.35109
1978,49918.59911
1979,53427.97658
1980,49454.73228
1981,34467.20956
1982,34107.12856
1983,57091.34702
1984,57274.77249
1985,55165.20921
1986,52326.87992
1987,52736.14168
1988,59551.95364
1989,56978.7192
1990,56988.65737
1991,47546.5613
1992,51417.29282
1993,46839.84469
1994,50813.04314
1995,48574.03085
1996,53104.59374
1997,51297.43145
1998,46008.32508
1999,46668.27359
2000,41897.72623
2001,54025.45072
2002,55073.80589
2003,55462.12178
2004,55921.20118
2005,57747.72464
2006,53187.96648
2007,51466.39202
2008,44451.65731
2009,40411.51944
