years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,5208.95238
1985,4929.98796
1986,4672.18558
1987,5533.65771
1988,4986.19968
1989,4893.06459
1990,5971.77841
1991,4379.22648
1992,4804.14359
1993,4949.20032
1994,5045.19371
1995,5033.22033
1996,2908.03581
1997,2694.43117
1998,2408.50219
1999,2989.82173
2000,2811.1114
2001,5920.25483
2002,5035.41238
2003,4967.7553
2004,5003.92223
2005,4414.44299
2006,1140.47999
2007,1460.02949
2008,1245.81811
2009,1038.15041
