years,data
1960,242739.9807
1961,275030.544
1962,220928.9652
1963,191912.3301
1964,209378.3689
1965,220730.0731
1966,233376.5115
1967,228896.3333
1968,223997.3256
1969,214286.7502
1970,175923.2444
1971,167507.078
1972,131192.9824
1973,128234.2537
1974,108052.6704
1975,126090.4212
1976,179180.7224
1977,225624.7321
1978,287471.7569
1979,300801.6773
1980,419174.0725
1981,398905.5586
1982,327574.3153
1983,303466.8186
1984,305706.9408
1985,272475.9735
1986,230786.7758
1987,300460.2013
1988,294591.206
1989,306294.1114
1990,340790.1933
1991,263216.8314
1992,200699.1911
1993,203716.4345
1994,237255.8739
1995,276899.8262
1996,245085.2361
1997,133736.8786
1998,107469.0711
1999,146000.2585
2000,210867.352
2001,154769.7358
2002,191966.0991
2003,146852.1718
2004,174600.5671
2005,213283.0678
2006,236478.0047
2007,249291.0753
2008,258255.4277
2009,242614.6264
