years,data
1970,0.35965
1971,0.56221
1972,0.70021
1973,0.81769
1974,1.75002
1975,2.12363
1976,2.05485
1977,2.06992
1978,2.17737
1979,2.78007
1980,4.14292
1981,5.61755
1982,5.98798
1983,5.60769
1984,5.60924
1985,5.02429
1986,2.85751
1987,2.60112
1988,2.26047
1989,2.5741
1990,3.59407
1991,2.57515
1992,1.83922
1993,1.99997
1994,2.0151
1995,2.12556
1996,2.09409
1997,3.3452
1998,2.10941
1999,4.26691
2000,6.24479
2001,5.29191
2002,5.77813
2003,5.89781
2004,6.30627
2005,5.63285
2006,7.2869
2007,8.20166
2008,16.39563
2009,12.57194
