years,data
1960,67584.99336
1961,56334.15752
1962,60733.91517
1963,70964.40814
1964,79707.47429
1965,74476.5384
1966,83768.0029
1967,73604.26336
1968,79154.74577
1969,66892.54878
1970,76206.97221
1971,63711.33665
1972,57604.26927
1973,57947.27278
1974,60280.76613
1975,52231.73027
1976,56870.43133
1977,46718.64897
1978,47621.38364
1979,44167.32433
1980,78925.72124
1981,68057.09048
1982,51782.21486
1983,55072.01631
1984,138853.6958
1985,117770.9361
1986,94588.34654
1987,91641.51629
1988,55148.93115
1989,16898.95511
1990,11554.62092
1991,11010.81157
1992,11743.81611
1993,9547.96945
1994,8376.30986
1995,9220.54601
1996,1912.28712
1997,640.01239
1998,193.65167
1999,3581.68007
2000,677.35038
2001,2091.82479
2002,1219.77161
2003,330.84124
2004,87.65864
2005,69.95237
2006,638.42065
2007,66.12151
2008,2559.06004
2009,41.78579
