years,data
1960,10749.95918
1961,8960.41952
1962,9660.23782
1963,11287.4834
1964,12678.14129
1965,11846.11713
1966,13324.00237
1967,11707.37448
1968,12590.22519
1969,10639.82007
1970,12121.35712
1971,10133.82164
1972,9162.44143
1973,9216.99901
1974,9588.16067
1975,8307.89411
1976,9045.71836
1977,7430.99236
1978,7574.57987
1979,7025.18281
1980,12553.79692
1981,10825.05018
1982,8236.39492
1983,8759.66539
1984,22085.84313
1985,18732.45365
1986,15045.06864
1987,14576.35061
1988,8771.89934
1989,2687.92033
1990,1837.85922
1991,1751.36179
1992,1867.9523
1993,1518.6845
1994,1332.32223
1995,1466.60506
1996,304.16528
1997,101.79933
1998,30.80192
1999,569.69621
2000,107.73825
2001,332.72225
2002,194.01489
2003,52.62307
2004,13.94284
2005,11.12651
2006,101.54615
2007,10.51718
2008,407.03993
2009,6.64638
