years,data
1960,80574.70288
1961,83183.74826
1962,68408.91863
1963,63756.78608
1964,69410.49301
1965,69745.26426
1966,76759.81583
1967,72190.22241
1968,73902.58567
1969,70617.46795
1970,70323.83484
1971,80068.84283
1972,78082.10862
1973,112709.7073
1974,99001.78716
1975,111085.5998
1976,138116.5221
1977,172410.9733
1978,155636.4319
1979,156981.4799
1980,148701.215
1981,130661.6303
1982,81657.52869
1983,68521.13968
1984,76539.94293
1985,66724.13794
1986,58047.34675
1987,66638.39645
1988,68916.75359
1989,67222.86777
1990,64094.70623
1991,45310.08203
1992,34314.81666
1993,37166.77892
1994,41931.93938
1995,46248.28184
1996,40282.72303
1997,21419.97588
1998,17193.65832
1999,23794.45999
2000,33734.22572
2001,25469.80868
2002,30767.57755
2003,23421.21479
2004,27785.62521
2005,33939.38557
2006,37730.61117
2007,39679.64938
2008,41493.67245
2009,38605.98847
