years,data
1960,270161.0892
1961,248177.5248
1962,329045.7467
1963,360333.3104
1964,331756.585
1965,418517.8278
1966,375877.0183
1967,473191.9968
1968,397365.9154
1969,544918.0085
1970,521978.1167
1971,533790.0941
1972,472311.9171
1973,553161.7389
1974,645073.0418
1975,578577.8801
1976,422851.6023
1977,338072.6862
1978,576600.8718
1979,559805.6495
1980,591927.6271
1981,502231.5458
1982,698981.1158
1983,807127.7762
1984,693614.2766
1985,592910.3155
1986,666370.3185
1987,522005.6422
1988,511430.2155
1989,738333.7449
1990,668856.618
1991,652962.2816
1992,641661.3891
1993,820170.919
1994,632921.4079
1995,845540.2014
1996,817468.1557
1997,759836.7348
1998,832443.5169
1999,760406.2774
2000,736831.6503
2001,607385.3085
2002,675291.8556
2003,724528.9369
2004,696717.3346
2005,738895.052
2006,816875.8156
2007,619834.682
2008,588923.1704
2009,628201.1138
