years,data
1960,17753.35091
1961,17154.43675
1962,17691.97652
1963,17446.95749
1964,17516.68645
1965,18086.76056
1966,18309.33657
1967,18179.97674
1968,19773.59702
1969,22012.40703
1970,22037.00856
1971,20873.83175
1972,22314.47891
1973,22059.91503
1974,22080.62168
1975,21474.24299
1976,23713.42942
1977,26642.7179
1978,27838.83271
1979,28340.89693
1980,27073.7991
1981,27632.96046
1982,30194.69765
1983,29140.97334
1984,27983.65834
1985,30374.32475
1986,34746.16287
1987,35287.17922
1988,36057.80192
1989,35806.47625
1990,34373.6069
1991,30123.64721
1992,30508.77479
1993,30512.92003
1994,30257.88123
1995,28689.5549
1996,29233.82641
1997,29086.89351
1998,28422.93112
1999,27967.29458
2000,28383.01386
2001,29760.09029
2002,29395.33566
2003,30314.64864
2004,30377.69054
2005,30467.09381
2006,30799.90142
2007,29652.10687
2008,28225.47201
2009,26764.51049
