years,data
1970,6.26216
1971,6.4045
1972,6.15775
1973,6.35999
1974,7.91455
1975,8.39179
1976,8.44896
1977,8.40175
1978,8.01473
1979,9.05826
1980,11.00729
1981,10.99527
1982,10.40602
1983,8.8827
1984,8.41184
1985,7.95772
1986,6.33639
1987,6.16861
1988,5.93976
1989,6.05297
1990,6.26599
1991,6.01739
1992,6.14422
1993,5.8744
1994,5.82839
1995,5.58741
1996,5.46207
1997,5.32175
1998,4.66202
1999,4.60847
2000,5.17721
2001,5.46262
2002,5.02818
2003,5.54255
2004,5.74523
2005,6.15163
2006,6.44042
2007,6.44681
2008,7.02544
2009,5.55661
