years,data
1970,0.90046
1971,0.97897
1972,1.05901
1973,1.19249
1974,1.79473
1975,2.24652
1976,2.64785
1977,3.20689
1978,3.73053
1979,4.31629
1980,6.23981
1981,7.09972
1982,7.9392
1983,8.36097
1984,7.65299
1985,7.92902
1986,7.12264
1987,6.57821
1988,6.87655
1989,6.80172
1990,6.98506
1991,7.10701
1992,7.08462
1993,6.44865
1994,6.78311
1995,6.97408
1996,6.93769
1997,7.04509
1998,6.31379
1999,6.32854
2000,8.18246
2001,9.71918
2002,8.29016
2003,9.94303
2004,10.40074
2005,12.29466
2006,12.86068
2007,12.83209
2008,14.75705
2009,11.37219
