years,data
1970,7012.68195
1971,7709.22915
1972,8198.61735
1973,9363.87533
1974,12806.93419
1975,14970.44139
1976,16673.77798
1977,19289.75502
1978,21062.94638
1979,26585.1748
1980,36099.28138
1981,40551.43559
1982,40977.66623
1983,37852.992
1984,40559.01716
1985,41690.96152
1986,35679.07356
1987,37959.08202
1988,39889.96173
1989,43761.68383
1990,48464.93257
1991,47540.13825
1992,49605.85625
1993,48548.80142
1994,50203.44786
1995,50933.50326
1996,52664.51069
1997,55231.65459
1998,51878.92725
1999,55772.72033
2000,68201.6384
2001,73092.69862
2002,69678.00166
2003,80938.08688
2004,90268.94913
2005,104084.9655
2006,115977.7143
2007,121313.9374
2008,135274.852
2009,104711.6886
