years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,-41274.21176
1982,-52110.43253
1983,-29415.27291
1984,-46540.85359
1985,-51240.01425
1986,-52391.08714
1987,-54549.76486
1988,-40783.84946
1989,-55404.82972
1990,-51652.6424
1991,-57042.82985
1992,-44888.97306
1993,-50692.52541
1994,-35217.95845
1995,-38970.44832
1996,-13772.12381
1997,-12406.80817
1998,-37251.61402
1999,-33617.76641
2000,-47172.76246
2001,-9182.79317
2002,-16377.65994
2003,-5966.75906
2004,-8906.24792
2005,339.98515
2006,8367.81533
2007,7595.80052
2008,-6187.3909
2009,-8585.82457
