years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,-7085.70159
1982,-8945.997
1983,-5049.83226
1984,-7989.84611
1985,-8796.56897
1986,-8994.17805
1987,-9364.7665
1988,-7001.51922
1989,-9511.55875
1990,-8867.40642
1991,-9792.76049
1992,-7706.26147
1993,-8702.57947
1994,-6046.00145
1995,-6690.20572
1996,-2364.3131
1997,-2129.92415
1998,-6395.12687
1999,-5771.29037
2000,-8098.32832
2001,-1576.44518
2002,-2811.61544
2003,-1024.33632
2004,-1528.9696
2005,58.36655
2006,1436.53482
2007,1304.00009
2008,-1062.21303
2009,-1473.9613
