years,data
1960,478.53788
1961,464.50889
1962,445.90589
1963,434.03734
1964,432.65277
1965,409.73701
1966,401.0197
1967,426.94666
1968,432.11845
1969,445.61051
1970,454.58313
1971,465.33894
1972,459.11848
1973,431.08194
1974,442.85035
1975,521.19623
1976,552.06275
1977,623.3598
1978,682.77064
1979,802.33226
1980,1314.89217
1981,1571.67083
1982,1345.78689
1983,1646.51229
1984,1993.81736
1985,2175.07349
1986,2446.95767
1987,3767.66119
1988,4157.41925
1989,9681.8499
1990,7996.93026
1991,8348.40637
1992,8805.38818
1993,8031.59739
1994,7690.90256
1995,7763.11505
1996,8064.0549
1997,6293.34427
1998,5496.76635
1999,5780.14477
2000,6185.52481
2001,6255.22953
2002,6406.31377
2003,6669.6429
2004,6520.65918
2005,4132.17993
2006,3830.27781
2007,4070.24168
2008,4322.99461
2009,4290.30922
