years,data
1970,0.81896
1971,0.86419
1972,0.86773
1973,0.99645
1974,1.54338
1975,1.62037
1976,1.73517
1977,1.96449
1978,2.07604
1979,2.97967
1980,4.14553
1981,5.10032
1982,4.9505
1983,4.79394
1984,4.87575
1985,4.68828
1986,3.75879
1987,3.5808
1988,3.61865
1989,3.99485
1990,4.7475
1991,4.54789
1992,4.15826
1993,4.05806
1994,3.94314
1995,3.86469
1996,4.42645
1997,4.41391
1998,3.81766
1999,3.9151
2000,5.87886
2001,5.6153
2002,5.09329
2003,6.11291
2004,6.94512
2005,9.19702
2006,10.59668
2007,11.62318
2008,14.42859
2009,10.74466
