years,data
1960,4.99264
1961,0.0
1962,245.3468
1963,0.0
1964,204.42748
1965,672.10699
1966,1010.30708
1967,803.44134
1968,690.37521
1969,446.65104
1970,507.81515
1971,419.86394
1972,319.97419
1973,260.50418
1974,206.11464
1975,204.20734
1976,192.48139
1977,293.17133
1978,168.59419
1979,94.66783
1980,210.85562
1981,238.22387
1982,139.6922
1983,56.59181
1984,2.3869
1985,45.53847
1986,316.69859
1987,253.83872
1988,118.14073
1989,19671.0
1990,29432.0
1991,33595.0
1992,38223.0
1993,37706.0
1994,35556.0
1995,34469.0
1996,29298.0
1997,28448.0
1998,29504.0
1999,30442.0
2000,29942.0
2001,26557.33
2002,35719.93
2003,24150.7
2004,24297.57
2005,23973.43
2006,25976.9
2007,26241.95
2008,27974.42
2009,27705.64
