years,data
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,0.0
1978,0.0
1979,0.0
1980,0.0
1981,3311.59433
1982,4494.47026
1983,5930.15131
1984,7773.87204
1985,8769.32084
1986,2311.41945
1987,2547.0513
1988,2781.49897
1989,2225.78019
1990,2423.34356
1991,2208.9183
1992,2356.38934
1993,2273.5732
1994,4177.57706
1995,4384.91315
1996,2838.83323
1997,2372.93905
1998,2018.46844
1999,1868.35439
2000,1475.52319
2001,6168.68706
2002,7484.151
2003,7131.96601
2004,7043.43147
2005,7361.29505
2006,3258.16767
2007,3687.60572
2008,3665.15186
2009,4035.28948
