years,data
1970,31910.2062
1971,32580.61383
1972,35711.17805
1973,37123.82271
1974,38512.52423
1975,34549.93626
1976,39949.11202
1977,41146.26851
1978,42989.8895
1979,43564.52461
1980,19258.62208
1981,20326.4886
1982,19664.17255
1983,22211.06514
1984,22659.79103
1985,22564.30438
1986,11836.47065
1987,11786.14178
1988,12261.55387
1989,50322.0135
1990,40949.97418
1991,36862.85345
1992,35768.81485
1993,29656.38249
1994,27811.27667
1995,29403.95411
1996,25450.6289
1997,31473.48726
1998,23900.00974
1999,26685.20717
2000,30796.39101
2001,35906.89089
2002,23116.6348
2003,22102.28066
2004,18618.10414
2005,24644.67167
2006,24386.20416
2007,24863.23358
2008,21886.70915
2009,16900.5282
